Date,USD/TWD close
28-Jan-19,30.779
29-Jan-19,30.787
30-Jan-19,30.712
31-Jan-19,30.688
1-Feb-19,30.759
4-Feb-19,30.775
5-Feb-19,30.726
6-Feb-19,30.785
7-Feb-19,30.806
8-Feb-19,30.841
11-Feb-19,30.862
12-Feb-19,30.79
13-Feb-19,30.825
14-Feb-19,30.82
15-Feb-19,30.812
18-Feb-19,30.818
19-Feb-19,30.776
20-Feb-19,30.785
21-Feb-19,30.801
22-Feb-19,30.746
23-Feb-19,30.756
25-Feb-19,30.733
26-Feb-19,30.756
27-Feb-19,30.782
28-Feb-19,30.816
1-Mar-19,30.834
4-Mar-19,30.823
5-Mar-19,30.831
6-Mar-19,30.828
7-Mar-19,30.905
8-Mar-19,30.895
11-Mar-19,30.897
12-Mar-19,30.891
13-Mar-19,30.896
14-Mar-19,30.916
15-Mar-19,30.849
18-Mar-19,30.766
19-Mar-19,30.799
20-Mar-19,30.739
21-Mar-19,30.797
22-Mar-19,30.866
25-Mar-19,30.83
26-Mar-19,30.839
27-Mar-19,30.866
28-Mar-19,30.857
29-Mar-19,30.838
1-Apr-19,30.783
2-Apr-19,30.835
3-Apr-19,30.788
4-Apr-19,30.791
5-Apr-19,30.788
8-Apr-19,30.821
9-Apr-19,30.818
10-Apr-19,30.824
11-Apr-19,30.85
12-Apr-19,30.83
15-Apr-19,30.86
16-Apr-19,30.853
17-Apr-19,30.772
18-Apr-19,30.826
19-Apr-19,30.806
22-Apr-19,30.837
23-Apr-19,30.858
24-Apr-19,30.907
25-Apr-19,30.91
26-Apr-19,30.902
29-Apr-19,30.899
30-Apr-19,30.893
1-May-19,30.917
2-May-19,30.896
3-May-19,30.857
6-May-19,30.91
7-May-19,30.93
8-May-19,30.946
9-May-19,30.991
10-May-19,30.938
13-May-19,31.1
14-May-19,31.148
15-May-19,31.067
16-May-19,31.2
17-May-19,31.363
20-May-19,31.394
21-May-19,31.439
22-May-19,31.434
23-May-19,31.52
24-May-19,31.476
27-May-19,31.444
28-May-19,31.526
29-May-19,31.546
30-May-19,31.565
31-May-19,31.524
3-Jun-19,31.385
4-Jun-19,31.35
5-Jun-19,31.354
6-Jun-19,31.296
7-Jun-19,31.354
10-Jun-19,31.353
11-Jun-19,31.38
12-Jun-19,31.41
13-Jun-19,31.464
14-Jun-19,31.498
17-Jun-19,31.494
18-Jun-19,31.303
19-Jun-19,31.149
20-Jun-19,30.955
21-Jun-19,30.944
24-Jun-19,30.93
25-Jun-19,31.072
26-Jun-19,31.015
27-Jun-19,31.013
28-Jun-19,30.958
1-Jul-19,30.992
2-Jul-19,30.992
3-Jul-19,31.072
4-Jul-19,31.033
5-Jul-19,31.168
8-Jul-19,31.172
9-Jul-19,31.161
10-Jul-19,31.037
11-Jul-19,31.013
12-Jul-19,31.038
15-Jul-19,31.036
16-Jul-19,31.056
17-Jul-19,31.045
18-Jul-19,30.969
19-Jul-19,31.031
22-Jul-19,31.058
23-Jul-19,31.085
24-Jul-19,31.079
25-Jul-19,31.074
26-Jul-19,31.082
29-Jul-19,31.081
30-Jul-19,31.078
31-Jul-19,31.154
1-Aug-19,31.325
2-Aug-19,31.451
5-Aug-19,31.684
6-Aug-19,31.456
7-Aug-19,31.426
8-Aug-19,31.287
9-Aug-19,31.367
12-Aug-19,31.459
13-Aug-19,31.144
14-Aug-19,31.399
15-Aug-19,31.288
16-Aug-19,31.301
19-Aug-19,31.364
20-Aug-19,31.327
21-Aug-19,31.329
22-Aug-19,31.363
23-Aug-19,31.419
26-Aug-19,31.377
27-Aug-19,31.403
28-Aug-19,31.393
29-Aug-19,31.307
30-Aug-19,31.318
2-Sep-19,31.375
3-Sep-19,31.358
4-Sep-19,31.254
5-Sep-19,31.26
6-Sep-19,31.181
9-Sep-19,31.197
10-Sep-19,31.185
11-Sep-19,31.124
12-Sep-19,30.907
13-Sep-19,30.916
16-Sep-19,30.895
17-Sep-19,30.925
18-Sep-19,30.956
19-Sep-19,30.991
20-Sep-19,30.982
23-Sep-19,30.971
24-Sep-19,31.036
25-Sep-19,31.019
26-Sep-19,31.021
27-Sep-19,31.032
30-Sep-19,31.039
1-Oct-19,31.082
2-Oct-19,31.028
3-Oct-19,30.974
4-Oct-19,30.877
7-Oct-19,30.886
8-Oct-19,30.82
9-Oct-19,30.752
10-Oct-19,30.638
11-Oct-19,30.626
14-Oct-19,30.602
15-Oct-19,30.61
16-Oct-19,30.679
17-Oct-19,30.613
18-Oct-19,30.535
21-Oct-19,30.518
22-Oct-19,30.578
23-Oct-19,30.574
24-Oct-19,30.591
25-Oct-19,30.563
28-Oct-19,30.55
29-Oct-19,30.492
30-Oct-19,30.376
31-Oct-19,30.478
1-Nov-19,30.436
4-Nov-19,30.385
5-Nov-19,30.395
6-Nov-19,30.395
